country,x,y,technology,capacity,unit,quality,company,location,start year,Latest renovation year,Source,Comments
BR,-48.770749,-15.787734,Industry NMM Cement,0,Mt/yr,estimated,LafargeHolcim Brasil S.A.,Cocalzinho de Goiás,,,,
BR,-43.881348,-16.680602,Industry NMM Cement,0,Mt/yr,estimated,LafargeHolcim Brasil S.A.,Montes Claros,,,,
BR,-38.479975,-12.703442,Industry NMM Cement,0,Mt/yr,estimated,LafargeHolcim Brasil S.A.,Candeias,,,,
BR,-34.864205,-7.491468,Industry NMM Cement,0,Mt/yr,estimated,LafargeHolcim Brasil S.A.,Zona Rural- Caaporã,,,,
BR,-46.241248,-23.449638,Industry NMM Cement,2.25,Mt/yr,estimated,Mizu Cimentos S.A.,Mogi das Cruzes,,,,
BR,-43.573783,-22.859886,Industry NMM Cement,0,Mt/yr,estimated,Mizu Cimentos S.A.,Rio de Janeiro,,,,
BR,-40.234606,-20.261513,Industry NMM Cement,0,Mt/yr,estimated,Mizu Cimentos S.A.,Vitória,,,,
BR,-36.685295,-10.426087,Industry NMM Cement,0,Mt/yr,estimated,Mizu Cimentos S.A.,Pacatuba,,,,
BR,-37.714259,-5.073414,Industry NMM Cement,0,Mt/yr,estimated,Mizu Cimentos S.A.,Baraúna,,,,
BR,-59.969807,-3.147669,Industry NMM Cement,0,Mt/yr,estimated,Mizu Cimentos S.A.,Manaus,,,,
BR,-42.285915,-21.980072,Industry NMM Cement,2.58,Mt/yr,estimated,Companhia Nacional de Cimento (CNC),Cantagalo,,,,
BR,-45.575524,-20.315562,Industry NMM Cement,0,Mt/yr,estimated,Companhia Nacional de Cimento (CNC),Arcos,,,,
BR,-44.080824,-19.540366,Industry NMM Cement,0,Mt/yr,estimated,Companhia Nacional de Cimento (CNC),Matozinhos,,,,
BR,-43.881686,-19.810278,Industry NMM Cement,0,Mt/yr,estimated,Companhia Nacional de Cimento (CNC),Santa Luzia,,,,
BR,-44.102216,-22.50894,Industry NMM Cement,2.4,Mt/yr,estimated,CSN Companhia Siderúrgica Nacional,Volta Redonda,,,,
BR,-34.885663,-7.376362,Industry NMM Cement,0,Mt/yr,estimated,CSN Companhia Siderúrgica Nacional,Alhandra,,,,
BR,-45.590035,-20.315378,Industry NMM Cement,0,Mt/yr,estimated,CSN Companhia Siderúrgica Nacional,Arcos,,,,
BR,-46.247978,-23.347614,Industry NMM Cement,2.5,Mt/yr,estimated,Cimento Tupi S.A.,Mogi das Cruzes,,,,
BR,-44.129834,-22.521463,Industry NMM Cement,0,Mt/yr,estimated,Cimento Tupi S.A.,Volta Redonda,,,,
BR,-43.817469,-20.899372,Industry NMM Cement,0,Mt/yr,estimated,Cimento Tupi S.A.,Carandaí,,,,
BR,-48.978353,-24.668093,Industry NMM Cement,2.3,Mt/yr,estimated,Supremo Cimento LTDA,Adrianópolis,,,,
BR,-49.12405,-26.7174,Industry NMM Cement,0,Mt/yr,estimated,Supremo Cimento LTDA,Pomerode,,,,
BR,-34.81561,-7.477959,Industry NMM Cement,3.5,Mt/yr,estimated,BCPAR SA,Pitimbu,,,,
BR,-44.262527,-19.488662,Industry NMM Cement,0,Mt/yr,estimated,BCPAR SA,Sete Lagoas,,,,
BR,-47.15477392,-22.73690745,Industry Chemical HVC Steam Cracking,434,Kt/yr,actual,Paulínia (REPLAN) -Petrobras,Paulínia- São Paulo,,,International - U.S. Energy Information Administration (EIA),
BR,-38.59767721,-12.684135,Industry Chemical HVC Steam Cracking,279,Kt/yr,actual,Mataripe (RLAM) -Petrobras,Mataripe- Bahia,,,International - U.S. Energy Information Administration (EIA),
BR,-45.84403075,-23.2770486,Industry Chemical HVC Steam Cracking,252,Kt/yr,actual,São Jose dos Campos (REVAP) -Petrobras,São Paulo- São Jose dos Campos,,,International - U.S. Energy Information Administration (EIA),
BR,-43.2862947,-22.7798361,Industry Chemical HVC Steam Cracking,239,Kt/yr,actual,Duque de Caxias (REDUC) -Petrobras,Rio de Janeiro state,,,International - U.S. Energy Information Administration (EIA),
BR,-51.89913605,-23.4444201,Industry Chemical HVC Steam Cracking,208,Kt/yr,actual,Araucária (REPAR) -Petrobras,Araucária- Paraná,,,International - U.S. Energy Information Administration (EIA),
BR,-51.1808787,-29.876813,Industry Chemical HVC Steam Cracking,201,Kt/yr,actual,Canoas (REFAP) -Petrobras,Canoas in the Rio Grande do Sul state,,,International - U.S. Energy Information Administration (EIA),
BR,-46.44148552,-23.9141958,Industry Chemical HVC Steam Cracking,170,Kt/yr,actual,Cubatão (RPBC) -Petrobras,Cubatão- São Paulo,,,International - U.S. Energy Information Administration (EIA),
